Generation,Cost,Perception Entropy,Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz
0,3.0,3.6622272910343274,,1,0.12,0.0,0.33299999999999996,1.0,0.0,0.0,0.0,2,0.247,0.0,0.218,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0,11.584020851994001,0.2905759162303665,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.6005285978317261,0.7027644515037537,0.2932046353816986,0.2439645528793335,2,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08027859777212143,-0.6429205536842346,0.7599810361862183,-0.051354892551898956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,12.266126975637896,0.38272251308900523,1,-0.15635451923235894,-0.02840125499818122,0.3779989551392465,0.047676388174295425,-0.9494797587394714,-0.008862510323524475,-0.3100591003894806,1,0.034965599269226544,0.06907576102217042,0.2495241753103587,0.6005243062973022,0.40683043003082275,-0.34003207087516785,-0.5985296368598938,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.0,7.351404787820798,0.6476439790575916,1,0.13043637245688475,0.17598999200633808,0.336054179985114,0.24292229115962982,0.4136890769004822,-0.09129199385643005,-0.8726488351821899,1,-0.07623176961056267,0.10414055824253587,0.20706625042467453,0.28913167119026184,-0.16198818385601044,0.3934991657733917,0.857508659362793,2,-0.0025539746015026954,0.14709438111351442,0.245143878783882,-0.08313701301813126,-0.3994525969028473,0.911306619644165,0.055191460996866226
2,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,11.584020851994001,0.2905759162303665,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.6005285978317261,0.7027644515037537,0.2932046353816986,0.2439645528793335,2,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08027859777212143,-0.6429205536842346,0.7599810361862183,-0.051354892551898956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,11.421571352691561,0.30523560209424083,1,2,0,-0.11455417693395997,0.13612227710074032,0.19321060252541045,0.6034603118896484,0.7061952352523804,0.2775297462940216,0.24515555799007416,0.097032837250301,-0.029770271147834287,0.29815901479829643,-0.039339832961559296,-0.6442997455596924,0.7616114020347595,-0.05725691094994545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,12.322752808917453,0.3785340314136126,1,1,0,-0.1514684785056236,-0.02840125499818122,0.37414901855498117,0.04767667129635811,-0.9494854211807251,0.0081607261672616,-0.31006094813346863,0.03331134037851934,0.06907576102217042,0.2495241753103587,0.5753923058509827,0.41838526725769043,-0.34968969225883484,-0.6095855236053467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,11.584020851994001,0.2905759162303665,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.6005285978317261,0.7027644515037537,0.2932046353816986,0.2439645528793335,2,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08027859777212143,-0.6429205536842346,0.7599810361862183,-0.051354892551898956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,11.585275009053724,0.29109947643979056,1,2,0,-0.10952025209397379,0.1394001392198685,0.19317279804135148,0.6005094647407532,0.7027775049209595,0.29321008920669556,0.2439671903848648,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08025117218494415,-0.6427009105682373,0.7597213983535767,-0.05760818347334862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,11.421571352691561,0.30523560209424083,1,2,0,-0.11455417693395997,0.13612227710074032,0.19321060252541045,0.6034603118896484,0.7061952352523804,0.2775297462940216,0.24515555799007416,0.097032837250301,-0.029770271147834287,0.29815901479829643,-0.039339832961559296,-0.6442997455596924,0.7616114020347595,-0.05725691094994545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,15.250789417823157,0.05759162303664921,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809956257120174,-0.030707470944782864,0.29815901479829643,-0.5542275309562683,0.22713370621204376,-0.1788724809885025,-0.7805425524711609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,11.584020851994001,0.2905759162303665,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.6005285978317261,0.7027644515037537,0.2932046353816986,0.2439645528793335,2,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08027859777212143,-0.6429205536842346,0.7599810361862183,-0.051354892551898956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,11.585275009053724,0.29109947643979056,1,2,0,-0.10952025209397379,0.1394001392198685,0.19317279804135148,0.6005094647407532,0.7027775049209595,0.29321008920669556,0.2439671903848648,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08025117218494415,-0.6427009105682373,0.7597213983535767,-0.05760818347334862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,15.250789417823157,0.05759162303664921,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809956257120174,-0.030707470944782864,0.29815901479829643,-0.5542275309562683,0.22713370621204376,-0.1788724809885025,-0.7805425524711609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,14.635267685408945,0.12931937172774868,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022257645278802862,0.0016637500634269498,0.29815901479829643,-0.5640345811843872,0.005795655306428671,-0.15678659081459045,-0.8107091784477234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.0,11.584020851994001,0.2905759162303665,1,-0.1096681362370333,0.13612227710074032,0.19189856774873135,0.6005285978317261,0.7027644515037537,0.2932046353816986,0.2439645528793335,2,0.09537857835959604,-0.029770271147834287,0.29815901479829643,-0.08027859777212143,-0.6429205536842346,0.7599810361862183,-0.051354892551898956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,15.250789417823157,0.05759162303664921,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809956257120174,-0.030707470944782864,0.29815901479829643,-0.5542275309562683,0.22713370621204376,-0.1788724809885025,-0.7805425524711609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,14.467836638678005,0.10261780104712041,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0954174249681736,-0.029770271147834287,0.29815901479829643,-0.07996350526809692,0.20353615283966064,0.6990256905555725,-0.6808391213417053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,14.635267685408945,0.12931937172774868,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022257645278802862,0.0016637500634269498,0.29815901479829643,-0.5640345811843872,0.005795655306428671,-0.15678659081459045,-0.8107091784477234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,15.250789417823157,0.05759162303664921,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809956257120174,-0.030707470944782864,0.29815901479829643,-0.5542275309562683,0.22713370621204376,-0.1788724809885025,-0.7805425524711609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,14.467836638678005,0.10261780104712041,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0954174249681736,-0.029770271147834287,0.29815901479829643,-0.07996350526809692,0.20353615283966064,0.6990256905555725,-0.6808391213417053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,14.450154890506356,0.10366492146596859,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0954174249681736,-0.029770271147834287,0.29815901479829643,-0.07328864187002182,0.1865462064743042,0.6406753063201904,-0.7411911487579346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,15.243008863042903,0.0356020942408377,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18642104910914611,0.0,0.268038272857666,0.0,-0.9634082913398743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,15.115952497499961,0.04712041884816754,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534218654774188,-0.030707470944782864,0.28706202288217647,-0.12125243246555328,0.27109742164611816,-0.21329627931118011,-0.9307570457458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,15.250789417823157,0.05759162303664921,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809956257120174,-0.030707470944782864,0.29815901479829643,-0.5542275309562683,0.22713370621204376,-0.1788724809885025,-0.7805425524711609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,15.243008863042903,0.0356020942408377,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18642104910914611,0.0,0.268038272857666,0.0,-0.9634082913398743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,15.115952497499961,0.04712041884816754,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534218654774188,-0.030707470944782864,0.28706202288217647,-0.12125243246555328,0.27109742164611816,-0.21329627931118011,-0.9307570457458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,15.250789417823157,0.05759162303664921,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809956257120174,-0.030707470944782864,0.29815901479829643,-0.5542275309562683,0.22713370621204376,-0.1788724809885025,-0.7805425524711609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.0,15.243008863042903,0.0356020942408377,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18642104910914611,0.0,0.268038272857666,0.0,-0.9634082913398743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.0,15.229579136768976,0.03664921465968586,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19681588451886817,0.0,0.268038272857666,0.0,-0.9634082913398743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.0,15.115952497499961,0.04712041884816754,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09534218654774188,-0.030707470944782864,0.28706202288217647,-0.12125243246555328,0.27109742164611816,-0.21329627931118011,-0.9307570457458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
